index,elapsed_time,time,temp
0,0.0,408.843,"Arroyo 5240 221021934 v1.50 145
23.44
"
1,30.11,438.953,"23.45
"
2,60.2,469.046,"23.50
"
3,90.31,499.156,"23.47
"
4,120.41,529.25,"23.50
"
5,150.52,559.359,"23.50
"
6,180.61,589.453,"23.48
"
7,210.72,619.562,"23.48
"
8,240.81,649.656,"23.32
"
9,270.92,679.765,"23.33
"
10,301.02,709.859,"23.35
"
11,331.12,739.968,"23.33
"
12,361.22,770.062,"23.47
"
13,391.33,800.171,"23.52
"
14,421.42,830.265,"23.47
"
15,451.53,860.375,"23.49
"
16,481.62,890.468,"23.48
"
17,511.73,920.578,"23.44
"
18,541.83,950.671,"23.46
"
19,571.94,980.781,"23.51
"
20,602.03,1010.875,"23.50
"
21,632.14,1040.984,"23.57
"
22,662.23,1071.078,"23.53
"
23,692.34,1101.187,"23.52
"
24,722.44,1131.281,"23.49
"
25,752.55,1161.39,"23.40
"
26,782.66,1191.5,"23.46
"
27,812.75,1221.593,"23.52
"
28,842.86,1251.703,"23.55
"
29,872.95,1281.796,"23.57
"
30,903.06,1311.906,"23.56
"
31,933.16,1342.0,"23.63
"
32,963.27,1372.109,"23.45
"
33,993.36,1402.203,"23.55
"
34,1023.47,1432.312,"23.47
"
35,1053.56,1462.406,"23.46
"
36,1083.67,1492.515,"23.41
"
37,1113.77,1522.609,"23.36
"
38,1143.88,1552.718,"23.43
"
39,1173.97,1582.812,"23.39
"
40,1204.08,1612.921,"23.47
"
41,1234.17,1643.015,"23.43
"
42,1264.28,1673.125,"23.46
"
43,1294.38,1703.218,"23.35
"
44,1324.48,1733.328,"23.42
"
45,1354.58,1763.421,"23.50
"
46,1384.69,1793.531,"23.55
"
47,1414.78,1823.625,"23.58
"
48,1444.89,1853.734,"23.37
"
49,1474.98,1883.828,"23.44
"
50,1505.09,1913.937,"23.50
"
51,1535.19,1944.031,"23.43
"
52,1565.3,1974.14,"23.39
"
53,1595.39,2004.234,"23.31
"
54,1625.5,2034.343,"23.41
"
55,1655.59,2064.437,"23.57
"
56,1685.7,2094.546,"23.53
"
57,1715.8,2124.64,"23.42
"
58,1745.91,2154.75,"23.43
"
59,1776.0,2184.843,"23.39
"
60,1806.11,2214.953,"23.45
"
61,1836.2,2245.046,"23.45
"
62,1866.31,2275.156,"23.52
"
63,1896.41,2305.25,"23.52
"
64,1926.52,2335.359,"23.52
"
65,1956.61,2365.453,"23.44
"
66,1986.72,2395.562,"23.48
"
67,2016.81,2425.656,"23.37
"
68,2046.92,2455.765,"23.46
"
69,2077.03,2485.875,"23.39
"
70,2107.12,2515.968,"23.49
"
71,2137.24,2546.078,"23.59
"
72,2167.33,2576.171,"23.58
"
73,2197.44,2606.281,"23.63
"
74,2227.53,2636.375,"23.55
"
75,2257.64,2666.484,"23.53
"
76,2287.74,2696.578,"23.49
"
77,2317.84,2726.687,"23.51
"
78,2347.94,2756.781,"23.58
"
79,2378.05,2786.89,"23.52
"
80,2408.14,2816.984,"23.50
"
81,2438.25,2847.093,"23.50
"
82,2468.34,2877.187,"23.61
"
83,2498.45,2907.296,"23.55
"
84,2528.55,2937.39,"23.41
"
85,2558.66,2967.5,"23.37
"
86,2588.75,2997.593,"23.38
"
87,2618.86,3027.703,"23.36
"
88,2648.95,3057.796,"23.47
"
89,2679.06,3087.906,"23.35
"
90,2709.16,3118.0,"23.34
"
91,2739.27,3148.109,"23.42
"
92,2769.36,3178.203,"23.43
"
93,2799.47,3208.312,"23.34
"
94,2829.56,3238.406,"23.49
"
95,2859.67,3268.515,"23.48
"
96,2889.77,3298.609,"23.44
"
97,2919.88,3328.718,"23.56
"
98,2949.97,3358.812,"23.56
"
99,2980.08,3388.921,"23.52
"
100,3010.17,3419.015,"23.58
"
101,3040.28,3449.125,"23.50
"
102,3070.38,3479.218,"23.52
"
103,3100.48,3509.328,"23.51
"
104,3130.58,3539.421,"23.57
"
105,3160.69,3569.531,"23.54
"
106,3190.78,3599.625,"23.38
"
107,3220.89,3629.734,"23.47
"
108,3250.98,3659.828,"23.57
"
109,3281.09,3689.937,"23.52
"
110,3311.2,3720.046,"23.43
"
111,3341.3,3750.14,"23.56
"
112,3371.41,3780.25,"23.47
"
113,3401.5,3810.343,"23.59
"
114,3431.61,3840.453,"23.53
"
115,3461.7,3870.546,"23.53
"
116,3491.8,3900.64,"23.51
"
117,3521.91,3930.75,"23.50
"
118,3552.0,3960.843,"23.44
"
119,3582.11,3990.953,"23.41
"
120,3612.2,4021.046,"23.41
"
121,3642.31,4051.156,"23.49
"
122,3672.42,4081.265,"23.67
"
123,3702.52,4111.359,"23.58
"
124,3732.62,4141.468,"23.51
"
125,3762.72,4171.562,"23.53
"
126,3792.83,4201.671,"23.45
"
127,3822.92,4231.765,"23.53
"
128,3853.03,4261.875,"23.53
"
129,3883.12,4291.968,"23.51
"
130,3913.24,4322.078,"23.46
"
131,3943.33,4352.171,"23.48
"
132,3973.44,4382.281,"23.58
"
133,4003.53,4412.375,"23.57
"
134,4033.64,4442.484,"23.57
"
135,4063.74,4472.578,"23.45
"
136,4093.84,4502.687,"23.42
"
137,4123.94,4532.781,"23.38
"
138,4154.05,4562.89,"23.38
"
139,4184.14,4592.984,"23.46
"
140,4214.25,4623.093,"23.41
"
141,4244.34,4653.187,"23.42
"
142,4274.45,4683.296,"23.39
"
143,4304.55,4713.39,"23.45
"
144,4334.66,4743.5,"23.48
"
145,4364.75,4773.593,"23.38
"
146,4394.86,4803.703,"23.42
"
147,4424.95,4833.796,"23.45
"
148,4455.06,4863.906,"23.36
"
149,4485.16,4894.0,"23.47
"
150,4515.27,4924.109,"23.41
"
151,4545.36,4954.203,"23.42
"
152,4575.47,4984.312,"23.43
"
153,4605.56,5014.406,"23.43
"
154,4635.67,5044.515,"23.36
"
155,4665.77,5074.609,"23.34
"
156,4695.88,5104.718,"23.46
"
157,4725.97,5134.812,"23.42
"
158,4756.08,5164.921,"23.39
"
159,4786.17,5195.015,"23.36
"
160,4816.28,5225.125,"23.32
"
161,4846.38,5255.218,"23.40
"
162,4876.49,5285.328,"23.39
"
163,4906.58,5315.421,"23.40
"
164,4936.69,5345.531,"23.35
"
165,4966.78,5375.625,"23.35
"
166,4996.89,5405.734,"23.39
"
167,5026.99,5435.828,"23.49
"
168,5057.09,5465.937,"23.37
"
169,5087.19,5496.031,"23.44
"
170,5117.28,5526.125,"23.47
"
171,5147.39,5556.234,"23.47
"
172,5177.49,5586.328,"23.38
"
173,5207.59,5616.437,"23.39
"
174,5237.69,5646.531,"23.39
"
175,5267.8,5676.64,"23.46
"
176,5297.91,5706.75,"23.44
"
177,5328.0,5736.843,"23.47
"
178,5358.09,5766.937,"23.42
"
179,5388.2,5797.046,"23.38
"
180,5418.31,5827.156,"23.52
"
181,5448.41,5857.25,"23.44
"
182,5478.5,5887.343,"23.46
"
183,5508.61,5917.453,"23.51
"
184,5538.72,5947.562,"23.41
"
185,5568.81,5977.656,"23.43
"
186,5598.92,6007.765,"23.38
"
187,5629.02,6037.859,"23.45
"
188,5659.12,6067.968,"23.36
"
189,5689.22,6098.062,"23.42
"
190,5719.33,6128.171,"23.36
"
191,5749.42,6158.265,"23.40
"
192,5779.53,6188.375,"23.37
"
193,5809.62,6218.468,"23.41
"
194,5839.74,6248.578,"23.37
"
