elapsed_time,time_step,resistance
0.0,613338.921,-2.46118278
61.67,613400.593,-2.32602914
123.36,613462.281,-2.26370316
185.05,613523.968,-2.23365
246.73,613585.656,-2.21656724
308.41,613647.328,-2.2054861600000004
370.09,613709.015,-2.2003434200000003
431.78,613770.703,-2.19887784
493.45,613832.375,-2.19801584
555.14,613894.062,-2.1970044
616.83,613955.75,-2.19639294
678.52,614017.437,-2.196473
740.19,614079.109,-2.19718452
801.88,614140.796,-2.19820304
863.56,614202.484,-2.2000564600000003
925.23,614264.156,-2.20063954
986.92,614325.843,-2.2013900399999997
1048.61,614387.531,-2.20253472
1110.28,614449.203,-2.2041717999999997
1171.97,614510.89,-2.20449224
1233.66,614572.578,-2.204669
1295.33,614634.25,-2.20595122
1357.02,614695.937,-2.2049068800000002
1418.7,614757.625,-2.2040170199999998
1480.38,614819.296,-2.2032161
1542.06,614880.984,-2.2036639399999998
1603.75,614942.671,-2.2048921800000003
1665.42,615004.343,-2.2076445199999997
1727.11,615066.031,-2.2085206800000003
1788.8,615127.718,-2.20928718
1850.47,615189.39,-2.20863722
1912.16,615251.078,-2.20740868
1973.84,615312.765,-2.20688642
2035.52,615374.437,-2.20582026
2097.2,615436.125,-2.2064631400000003
2158.89,615497.812,-2.2086536600000004
2220.58,615559.5,-2.2091509
2282.25,615621.171,-2.2101608199999996
2343.94,615682.859,-2.2092768
2405.62,615744.546,-2.21006708
2467.3,615806.218,-2.20861466
2528.98,615867.906,-2.20864224
2590.67,615929.593,-2.20958126
2652.34,615991.265,-2.21020058
2714.03,616052.953,-2.20979326
2775.72,616114.64,-2.2107066600000005
2837.41,616176.328,-2.2105438
2899.08,616238.0,-2.21099466
2960.77,616299.687,-2.2100149
3022.45,616361.375,-2.2078165400000005
3084.12,616423.046,-2.20844268
3145.81,616484.734,-2.2075591799999996
3207.5,616546.421,-2.2077098800000003
3269.17,616608.093,-2.20804702
3330.86,616669.781,-2.20762554
3392.55,616731.468,-2.20556622
3454.23,616793.156,-2.2060084600000005
3515.91,616854.828,-2.2071622399999997
3577.59,616916.515,-2.20740846
