elapsed_time,time_step,resistance
0.0,598191.953,-2.26873244
61.73,598253.687,-2.24508288
123.42,598315.375,-2.23031862
185.12,598377.078,-2.22097388
246.81,598438.765,-2.21707992
308.55,598500.5,-2.2150183399999994
370.23,598562.187,-2.2124714
431.94,598623.89,-2.21286526
493.62,598685.578,-2.2100746799999995
555.33,598747.281,-2.2077841
617.05,598809.0,-2.2074244
678.73,598870.687,-2.20707966
740.44,598932.39,-2.20638412
802.12,598994.078,-2.2067243
863.81,599055.765,-2.20490002
925.52,599117.468,-2.20347978
987.25,599179.203,-2.2033602400000003
1048.97,599240.921,-2.2049825999999997
1110.67,599302.625,-2.20701864
1172.38,599364.328,-2.20571412
1234.06,599426.015,-2.2059674200000003
1295.77,599487.718,-2.20430754
1357.45,599549.406,-2.2047113400000002
1419.19,599611.14,-2.2064380800000003
1480.94,599672.89,-2.20692138
1542.62,599734.578,-2.205706
1604.31,599796.265,-2.2054778
1666.02,599857.968,-2.20733144
1727.7,599919.656,-2.20786716
1789.45,599981.406,-2.20641222
1851.19,600043.14,-2.20609714
1912.89,600104.843,-2.20784056
1974.59,600166.546,-2.20905462
2036.3,600228.25,-2.2087066
2098.0,600289.953,-2.20646998
2159.7,600351.656,-2.20654342
2221.41,600413.359,-2.20568754
2283.11,600475.062,-2.20686588
2344.81,600536.765,-2.2072711600000003
2406.56,600598.515,-2.20700446
2468.31,600660.265,-2.20586788
2530.02,600721.968,-2.20610192
2591.75,600783.703,-2.20536886
2653.45,600845.406,-2.20491802
2715.16,600907.109,-2.2047607
2776.86,600968.812,-2.20504794
2838.56,601030.515,-2.2058978
2900.31,601092.265,-2.2057952
2962.0,601153.953,-2.2057369400000004
3023.69,601215.64,-2.20616904
3085.38,601277.328,-2.20799254
3147.08,601339.031,-2.2091493800000004
3208.78,601400.734,-2.20819014
3270.53,601462.484,-2.2097659
3332.28,601524.234,-2.20978184
3393.97,601585.921,-2.20894268
3455.66,601647.609,-2.20630734
3517.39,601709.343,-2.2064155
3579.08,601771.031,-2.20683268
