index,elapsed_time,time,temp
200,6020.34,776741.703,23.74
201,6050.44,776771.796,23.70
202,6080.55,776801.906,23.72
203,6110.64,776832.0,23.70
204,6140.75,776862.109,23.69
205,6170.84,776892.203,23.69
206,6200.95,776922.312,23.74
207,6231.05,776952.406,23.72
208,6261.16,776982.515,23.75
209,6291.25,777012.609,23.70
210,6321.36,777042.718,23.70
211,6351.45,777072.812,23.68
212,6381.56,777102.921,23.68
213,6411.66,777133.015,23.69
214,6441.77,777163.125,23.66
215,6471.86,777193.218,23.71
216,6501.97,777223.328,23.66
217,6532.06,777253.421,23.70
218,6562.17,777283.531,23.67
219,6592.27,777313.625,23.71
220,6622.38,777343.734,23.69
221,6652.47,777373.828,23.67
222,6682.58,777403.937,23.67
223,6712.67,777434.031,23.68
224,6742.78,777464.14,23.73
225,6772.88,777494.234,23.64
226,6802.98,777524.343,23.64
227,6833.08,777554.437,23.64
228,6863.19,777584.546,23.65
229,6893.3,777614.656,23.68
230,6923.39,777644.75,23.69
231,6953.5,777674.859,23.71
232,6983.59,777704.953,23.73
233,7013.7,777735.062,23.70
234,7043.8,777765.156,23.73
235,7073.91,777795.265,23.73
236,7104.0,777825.359,23.71
237,7134.11,777855.468,23.72
238,7164.2,777885.562,23.75
239,7194.31,777915.671,23.70
240,7224.41,777945.765,23.69
241,7254.52,777975.875,23.66
242,7284.61,778005.968,23.66
243,7314.72,778036.078,23.69
244,7344.81,778066.171,23.71
245,7374.92,778096.281,23.70
246,7405.02,778126.375,23.69
247,7435.12,778156.484,23.64
248,7465.22,778186.578,23.70
249,7495.33,778216.687,23.68
250,7525.42,778246.781,23.74
251,7555.53,778276.89,23.67
252,7585.62,778306.984,23.68
253,7615.73,778337.093,23.65
254,7645.83,778367.187,23.70
255,7675.94,778397.296,23.70
256,7706.03,778427.39,23.68
257,7736.14,778457.5,23.72
258,7766.23,778487.593,23.70
259,7796.34,778517.703,23.70
260,7826.44,778547.796,23.70
261,7856.55,778577.906,23.67
262,7886.64,778608.0,23.70
263,7916.75,778638.109,23.69
264,7946.84,778668.203,23.71
265,7976.95,778698.312,23.65
266,8007.06,778728.421,23.62
267,8037.16,778758.515,23.70
268,8067.25,778788.609,23.71
269,8097.36,778818.718,23.68
270,8127.45,778848.812,23.62
271,8157.56,778878.921,23.67
272,8187.66,778909.015,23.66
273,8217.77,778939.125,23.70
274,8247.86,778969.218,23.70
275,8277.97,778999.328,23.66
276,8308.06,779029.421,23.62
277,8338.17,779059.531,23.67
278,8368.27,779089.625,23.69
279,8398.38,779119.734,23.71
280,8428.47,779149.828,23.70
281,8458.58,779179.937,23.73
282,8488.67,779210.031,23.68
283,8518.78,779240.14,23.63
284,8548.88,779270.234,23.64
285,8578.98,779300.343,23.65
286,8609.08,779330.437,23.70
287,8639.19,779360.546,23.73
288,8669.28,779390.64,23.73
289,8699.39,779420.75,23.66
290,8729.5,779450.859,23.69
291,8759.59,779480.953,23.72
292,8789.69,779511.046,23.70
293,8819.8,779541.156,23.65
294,8849.91,779571.265,23.68
295,8880.0,779601.359,23.69
296,8910.11,779631.468,23.75
297,8940.2,779661.562,23.66
298,8970.31,779691.671,23.66
299,9000.41,779721.765,23.66
300,9030.5,779751.859,23.63
301,9060.61,779781.968,23.67
302,9090.7,779812.062,23.63
303,9120.81,779842.171,23.68
304,9150.92,779872.281,23.68
305,9181.02,779902.375,23.74
306,9211.12,779932.484,23.66
307,9241.22,779962.578,23.69
308,9271.31,779992.671,23.69
309,9301.42,780022.781,23.68
310,9331.53,780052.89,23.76
311,9361.62,780082.984,23.69
312,9391.73,780113.093,23.74
313,9421.83,780143.187,23.75
314,9451.94,780173.296,23.68
315,9482.03,780203.39,23.69
316,9512.14,780233.5,23.70
317,9542.23,780263.593,23.68
318,9572.34,780293.703,23.73
319,9602.44,780323.796,23.70
320,9632.55,780353.906,23.66
321,9662.64,780384.0,23.67
322,9692.75,780414.109,23.65
323,9722.84,780444.203,23.69
324,9752.95,780474.312,23.68
325,9783.05,780504.406,23.67
326,9813.16,780534.515,23.69
327,9843.25,780564.609,23.65
328,9873.36,780594.718,23.65
329,9903.45,780624.812,23.66
330,9933.56,780654.921,23.62
331,9963.66,780685.015,23.65
332,9993.77,780715.125,23.66
333,10023.86,780745.218,23.66
334,10053.97,780775.328,23.64
335,10084.08,780805.437,23.66
336,10114.17,780835.531,23.66
337,10144.28,780865.64,23.65
338,10174.38,780895.734,23.62
339,10204.48,780925.843,23.73
340,10234.58,780955.937,23.73
341,10264.69,780986.046,23.69
342,10294.78,781016.14,23.67
343,10324.89,781046.25,23.70
344,10354.98,781076.343,23.71
345,10385.09,781106.453,23.68
346,10415.19,781136.546,23.64
347,10445.3,781166.656,23.73
348,10475.39,781196.75,23.63
349,10505.5,781226.859,23.71
350,10535.59,781256.953,23.71
351,10565.7,781287.062,23.65
352,10595.8,781317.156,23.67
353,10625.91,781347.265,23.73
354,10656.0,781377.359,23.66
355,10686.11,781407.468,23.70
356,10716.2,781437.562,23.74
357,10746.31,781467.671,23.69
358,10776.41,781497.765,23.65
359,10806.52,781527.875,23.65
360,10836.61,781557.968,23.69
361,10866.72,781588.078,23.67
362,10896.81,781618.171,23.70
363,10926.92,781648.281,23.69
364,10957.02,781678.375,23.65
365,10987.12,781708.484,23.67
366,11017.22,781738.578,23.67
367,11047.33,781768.687,23.65
368,11077.42,781798.781,23.71
369,11107.53,781828.89,23.68
370,11137.62,781858.984,23.72
371,11167.73,781889.093,23.75
372,11197.84,781919.203,23.70
373,11227.94,781949.296,23.64
374,11258.03,781979.39,23.64
375,11288.14,782009.5,23.63
376,11318.23,782039.593,23.70
377,11348.34,782069.703,23.67
378,11378.45,782099.812,23.72
379,11408.55,782129.906,23.69
380,11438.66,782160.015,23.65
381,11468.75,782190.109,23.61
382,11498.86,782220.218,23.66
383,11528.95,782250.312,23.69
384,11559.06,782280.421,23.68
385,11589.16,782310.515,23.67
386,11619.27,782340.625,23.64
387,11649.36,782370.718,23.65
388,11679.47,782400.828,23.71
389,11709.56,782430.921,23.69
390,11739.67,782461.031,23.71
391,11769.77,782491.125,23.69
392,11799.88,782521.234,23.68
393,11829.97,782551.328,23.69
394,11860.08,782581.437,23.69
395,11890.17,782611.531,23.71
396,11920.28,782641.64,23.69
397,11950.38,782671.734,23.67
398,11980.48,782701.843,23.68
399,12010.58,782731.937,23.68
400,12040.69,782762.046,23.65
401,12070.78,782792.14,23.66
402,12100.89,782822.25,23.67
403,12130.98,782852.343,23.69
404,12161.09,782882.453,23.71
405,12191.19,782912.546,23.64
406,12221.3,782942.656,23.66
407,12251.39,782972.75,23.69
408,12281.5,783002.859,23.72
409,12311.59,783032.953,23.70
410,12341.7,783063.062,23.70
411,12371.8,783093.156,23.69
412,12401.91,783123.265,23.68
413,12432.0,783153.359,23.68
414,12462.11,783183.468,23.66
415,12492.2,783213.562,23.72
416,12522.31,783243.671,23.70
417,12552.42,783273.781,23.68
418,12582.52,783303.875,23.70
419,12612.62,783333.984,23.71
420,12642.72,783364.078,23.72
421,12672.83,783394.187,23.70
422,12702.92,783424.281,23.70
423,12733.02,783454.375,23.70
424,12763.12,783484.484,23.70
425,12793.23,783514.593,23.70
426,12823.33,783544.687,23.71
427,12853.44,783574.796,23.69
428,12883.53,783604.89,23.68
429,12913.64,783635.0,23.67
430,12943.73,783665.093,23.66
431,12973.84,783695.203,23.63
432,13003.94,783725.296,23.61
433,13034.05,783755.406,23.62
434,13064.14,783785.5,23.66
435,13094.25,783815.609,23.65
436,13124.34,783845.703,23.65
437,13154.45,783875.812,23.65
438,13184.55,783905.906,23.67
439,13214.66,783936.015,23.67
440,13244.75,783966.109,23.67
441,13274.86,783996.218,23.66
442,13304.95,784026.312,23.73
443,13335.06,784056.421,23.68
444,13365.16,784086.515,23.75
445,13395.27,784116.625,23.71
446,13425.36,784146.718,23.69
447,13455.47,784176.828,23.69
448,13485.56,784206.921,23.74
449,13515.67,784237.031,23.72
450,13545.78,784267.14,23.73
451,13575.88,784297.234,23.70
452,13605.98,784327.343,23.73
453,13636.08,784357.437,23.68
454,13666.19,784387.546,23.69
455,13696.28,784417.64,23.66
456,13726.39,784447.75,23.62
457,13756.48,784477.843,23.64
458,13786.59,784507.953,23.65
459,13816.69,784538.046,23.70
460,13846.8,784568.156,23.71
461,13876.89,784598.25,23.65
462,13907.0,784628.359,23.66
463,13937.09,784658.453,23.69
464,13967.2,784688.562,23.71
465,13997.3,784718.656,23.74
466,14027.41,784748.765,23.72
467,14057.5,784778.859,23.73
468,14087.61,784808.968,23.70
469,14117.7,784839.062,23.68
470,14147.81,784869.171,23.68
471,14177.91,784899.265,23.74
472,14208.02,784929.375,23.70
473,14238.11,784959.468,23.71
474,14268.22,784989.578,23.72
475,14298.31,785019.671,23.69
476,14328.42,785049.781,23.69
477,14358.52,785079.875,23.69
478,14388.62,785109.984,23.65
479,14418.72,785140.078,23.65
480,14448.83,785170.187,23.68
481,14478.92,785200.281,23.64
482,14509.03,785230.39,23.66
483,14539.14,785260.5,23.65
484,14569.23,785290.593,23.65
485,14599.34,785320.703,23.61
486,14629.44,785350.796,23.64
487,14659.55,785380.906,23.68
488,14689.64,785411.0,23.71
489,14719.75,785441.109,23.71
490,14749.84,785471.203,23.71
491,14779.95,785501.312,23.72
492,14810.05,785531.406,23.66
493,14840.16,785561.515,23.71
494,14870.25,785591.609,23.69
495,14900.36,785621.718,23.68
496,14930.45,785651.812,23.71
497,14960.56,785681.921,23.70
498,14990.66,785712.015,23.75
499,15020.77,785742.125,23.75
500,15050.86,785772.218,23.69
501,15080.97,785802.328,23.69
502,15111.06,785832.421,23.73
503,15141.17,785862.531,23.65
504,15171.27,785892.625,23.67
505,15201.38,785922.734,23.69
506,15231.47,785952.828,23.70
507,15261.58,785982.937,23.68
508,15291.67,786013.031,23.68
509,15321.78,786043.14,23.69
510,15351.88,786073.234,23.68
511,15381.98,786103.343,23.69
512,15412.08,786133.437,23.64
513,15442.19,786163.546,23.69
514,15472.28,786193.64,23.65
515,15502.39,786223.75,23.68
516,15532.5,786253.859,23.65
517,15562.59,786283.953,23.73
518,15592.7,786314.062,23.65
519,15622.8,786344.156,23.68
520,15652.91,786374.265,23.67
521,15683.0,786404.359,23.68
522,15713.11,786434.468,23.65
523,15743.2,786464.562,23.69
524,15773.31,786494.671,23.69
525,15803.41,786524.765,23.70
526,15833.52,786554.875,23.65
527,15863.61,786584.968,23.62
528,15893.72,786615.078,23.59
529,15923.81,786645.171,23.58
530,15953.92,786675.281,23.66
531,15984.02,786705.375,23.65
532,16014.12,786735.484,23.65
533,16044.22,786765.578,23.69
534,16074.33,786795.687,23.69
535,16104.42,786825.781,23.69
536,16134.53,786855.89,23.68
537,16164.62,786885.984,23.67
538,16194.73,786916.093,23.71
539,16224.83,786946.187,23.70
540,16254.94,786976.296,23.70
541,16285.03,787006.39,23.65
542,16315.14,787036.5,23.70
543,16345.23,787066.593,23.69
544,16375.34,787096.703,23.69
545,16405.44,787126.796,23.67
546,16435.55,787156.906,23.69
547,16465.64,787187.0,23.64
548,16495.75,787217.109,23.66
549,16525.84,787247.203,23.66
550,16555.95,787277.312,23.65
551,16586.05,787307.406,23.66
552,16616.16,787337.515,23.62
553,16646.25,787367.609,23.71
554,16676.36,787397.718,23.69
555,16706.45,787427.812,23.73
556,16736.56,787457.921,23.66
557,16766.66,787488.015,23.66
558,16796.77,787518.125,23.70
559,16826.86,787548.218,23.69
