elapsed_time,time_step,resistance
0.0,324186.781,-2.1869942
61.69,324248.468,-2.18850338
123.38,324310.156,-2.18970348
185.06,324371.843,-2.1924485
246.75,324433.531,-2.1947728
308.45,324495.234,-2.19724732
370.14,324556.921,-2.1970462
431.88,324618.656,-2.19908654
493.56,324680.343,-2.2017188599999997
555.25,324742.031,-2.20074288
616.95,324803.734,-2.20079784
678.64,324865.421,-2.2010063
740.34,324927.125,-2.20005364
802.08,324988.859,-2.2024468199999996
864.03,325050.812,-2.2001717000000003
925.73,325112.515,-2.20039484
987.44,325174.218,-2.1999287999999995
1049.19,325235.968,-2.19959644
1110.88,325297.656,-2.19872458
1172.62,325359.406,-2.198526
1234.33,325421.109,-2.19917698
1296.01,325482.796,-2.1997692000000004
1357.7,325544.484,-2.1997078800000005
1419.39,325606.171,-2.19996168
1481.08,325667.859,-2.19844114
1542.76,325729.546,-2.20018968
1604.45,325791.234,-2.2025529400000003
1666.16,325852.937,-2.20337264
1727.84,325914.625,-2.20332324
1789.55,325976.328,-2.2042402
1851.28,326038.062,-2.20465458
1913.01,326099.796,-2.20389872
1974.73,326161.515,-2.20199444
2036.44,326223.218,-2.2003763800000002
2098.17,326284.953,-2.20037686
2159.91,326346.687,-2.20089868
2221.59,326408.375,-2.20035458
2283.3,326470.078,-2.19918206
2345.01,326531.796,-2.2002322199999997
2406.78,326593.562,-2.2002545000000002
2468.47,326655.25,-2.2007492199999996
2530.17,326716.953,-2.20163752
2591.88,326778.656,-2.2026018400000003
2653.56,326840.343,-2.20354058
2715.28,326902.062,-2.20382096
2777.03,326963.812,-2.20564574
2838.72,327025.5,-2.20638434
2900.41,327087.187,-2.20521058
2962.11,327148.89,-2.2031894999999997
3023.8,327210.578,-2.20101036
3085.48,327272.265,-2.20062762
3147.19,327333.968,-2.2009625
3208.91,327395.687,-2.2001245799999998
3270.64,327457.421,-2.20094044
3332.33,327519.109,-2.2002064199999998
3394.03,327580.812,-2.1997547600000003
3455.73,327642.515,-2.20168464
3517.48,327704.265,-2.2007226199999996
3579.22,327766.0,-2.20153268
0.0,328766.562,-2.18469882
61.69,328828.25,-2.1884170000000003
123.41,328889.968,-2.19318234
185.11,328951.671,-2.1961337999999997
246.8,329013.359,-2.198315
308.48,329075.046,-2.20129484
370.17,329136.734,-2.2011043399999997
431.88,329198.437,-2.20314466
493.58,329260.14,-2.20323534
555.3,329321.859,-2.20228776
617.02,329383.578,-2.20142806
678.7,329445.265,-2.2006385200000005
740.44,329507.0,-2.1997512
802.16,329568.718,-2.1998877200000004
863.86,329630.421,-2.2013746
925.59,329692.156,-2.20175762
987.28,329753.843,-2.2004318400000002
1049.02,329815.578,-2.199658
1110.72,329877.281,-2.20004482
1172.42,329938.984,-2.2010797799999997
1234.17,330000.734,-2.20207448
1295.88,330062.437,-2.20244686
1357.61,330124.171,-2.20118412
1419.3,330185.859,-2.2010934200000003
1480.98,330247.546,-2.20027706
1542.69,330309.25,-2.2013469999999997
1604.39,330370.953,-2.20221128
1666.14,330432.703,-2.20294734
1727.91,330494.468,-2.2026543
1789.64,330556.203,-2.2033546399999997
1851.39,330617.953,-2.20304134
1913.09,330679.656,-2.20054658
1974.78,330741.343,-2.20162512
2036.48,330803.046,-2.2031228599999997
2098.22,330864.781,-2.20375688
2159.94,330926.5,-2.2041092200000003
2221.62,330988.187,-2.20396788
2283.31,331049.875,-2.20346736
2345.03,331111.593,-2.2026472
2406.77,331173.328,-2.20293392
2468.48,331235.046,-2.20164742
2530.19,331296.75,-2.20028516
2591.88,331358.437,-2.2002981000000004
2653.56,331420.125,-2.201098
2715.25,331481.812,-2.2020147000000003
2776.94,331543.5,-2.2034123800000005
2838.62,331605.187,-2.2040808600000004
2900.31,331666.875,-2.2046128000000005
2962.02,331728.578,-2.20409276
3023.72,331790.281,-2.2033422000000003
3085.41,331851.968,-2.20156686
3147.16,331913.718,-2.2003824400000003
3208.89,331975.453,-2.19894928
3270.59,332037.156,-2.19976792
3332.31,332098.875,-2.19835528
3394.0,332160.562,-2.20065778
3455.7,332222.265,-2.2022543
3517.39,332283.953,-2.2027365999999997
3579.14,332345.703,-2.20244558
