elapsed_time,time_step,resistance
0.0,624103.25,-2.27938492
61.7,624164.953,-2.2432383600000003
123.45,624226.703,-2.2226142600000003
185.14,624288.39,-2.21252256
246.83,624350.078,-2.2062559399999997
308.55,624411.796,-2.2038255199999996
370.25,624473.5,-2.2027183800000003
431.94,624535.187,-2.20175354
493.64,624596.89,-2.20246
555.33,624658.578,-2.2051727999999997
617.02,624720.265,-2.2058397600000004
678.72,624781.968,-2.2050117399999998
740.42,624843.671,-2.20556442
802.11,624905.359,-2.2061384
863.8,624967.046,-2.20719546
925.48,625028.734,-2.20742542
987.19,625090.437,-2.20691756
1048.88,625152.125,-2.2069028600000005
1110.56,625213.812,-2.20555126
1172.25,625275.5,-2.20595628
1233.94,625337.187,-2.2072709
1295.66,625398.906,-2.20799002
1357.34,625460.593,-2.20791278
1419.03,625522.281,-2.20861492
1480.73,625583.984,-2.20976158
1542.42,625645.671,-2.21003164
1604.12,625707.375,-2.20946424
1665.81,625769.062,-2.21070488
1727.5,625830.75,-2.21107446
1789.2,625892.453,-2.21160638
1850.89,625954.14,-2.21143794
1912.58,626015.828,-2.2103287399999996
1974.27,626077.515,-2.21251902
2035.98,626139.234,-2.21325736
2097.69,626200.937,-2.21301954
2159.38,626262.625,-2.2123984400000003
2221.08,626324.328,-2.21242986
2282.78,626386.031,-2.21187968
2344.48,626447.734,-2.2126573200000004
2406.17,626509.421,-2.21401018
2467.88,626571.125,-2.21234982
2529.58,626632.828,-2.21163856
2591.31,626694.562,-2.2115742000000003
2653.02,626756.265,-2.2113300199999997
2714.7,626817.953,-2.2130180000000004
2776.39,626879.656,-2.21349398
2838.09,626941.343,-2.21236374
2899.8,627003.046,-2.2114853
2961.5,627064.75,-2.21301702
3023.19,627126.437,-2.21424372
3084.89,627188.14,-2.21533494
3146.58,627249.828,-2.2152736600000003
3208.3,627311.546,-2.21459734
3269.98,627373.234,-2.2130623399999996
3331.69,627434.937,-2.2122857
3393.41,627496.656,-2.21256588
3455.09,627558.343,-2.21121376
3516.8,627620.046,-2.21182094
3578.5,627681.75,-2.21214618
